sentiment,text
neutral,#MatchResult #MatchHighlights #KKRvRCB\n\nRCB won by #10Runs against KKR\nRCB survived Russell &amp; Rana STRIKES!!\n\n#RCB… https://t.co/PeAlq5g2O8
positive,#ViratKohli century helps RCB pull-off 10-run win despite another #AndreRussell carnage\n\n#ViratKohli\n#KKRvRCB… https://t.co/yrgvzvc8Zj
positive,#AR #AndreRussell is more than #AugmentedReality! it's happening so is full reality!\n@Russell12A #SixerRussell!… https://t.co/7EmVR24GRR
neutral,Kitni bhi koshish karlo @NitishRana_27 aur #AndreRussell magar @imVkohli ko pakadna mushkil hi nahi namumkin hai !!… https://t.co/MyetoMVOrQ
positive,#Ipl is a very funny contest one side we have players like @Russell12A @ABdeVilliers17 etc. And other side we have… https://t.co/6PW3dcOedy
neutral,#CSK #ChennaiSuperKings is the only team which has stopped the rampage from #russell #AndreRussell this season of #IPL
negative,#KKR didnt lose against #RCB \n#RobinUthappa lost it 4 @KKRiders \nPast expiry date\nDespite @robbieuthappa 's bst eff… https://t.co/uza4H0obqw
positive,Great Inning from Andre Russell but couldn't win the game for his team! #IPL #IPL2019 #andrerussell #rcb #kkr… https://t.co/WkCx6x0sF3
positive,First innings itself is not over how u define manish is the stylish player?#starikelungal #IPL #CricbuzzLIVE #cricbuzz
neutral,Sam Billings should be given a chance to open in place of Watson today. Also Bhajji should come back for Shardul.… https://t.co/cfMYkXdVJF
neutral,Lots of entertainment in this #IPL #VIVOIPL #CricbuzzLIVE #RRvDC #GameofThrones #RishabhPant #DCvsRR #RR #CSK… https://t.co/sd241qOWFN
positive,Dear @cricbuzz i already push notification 🔔 yet not received any kind of notification. #cricbuzz #CricbuzzLIVE #IPL #RRvDC
neutral,Rahane scored hundred #CricbuzzLIVE show fifty.😀😀😀 #DCvRR #IPL #2019 https://t.co/OQwJgEz8bE
negative,I don't belive that this was Aston Turner who turned the game against India.  @taurusvarun #IPL #RRvsDC #CricbuzzLIVE @cricbuzz
negative,@iamsrk  Don't feel bad Rajasthan Royals have Ashton turner who have more zeros than you. #ipl #CricbuzzLIVE #RRvDC
positive,First player who got 3 ducks in @IPL this is not an easy task...Art.. #CricbuzzLIVE #VIVOIPL #ipl #RR
positive,#RRvDC Who win this match?\n#RR v #DC #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #Hallabol… https://t.co/YA0UG2hGPM
positive,Rahane playing the best innings of his ipl career would like to see him score 150. @taurusvarun @cricbuzz #IPL #RRvsDC #CricbuzzLIVE
neutral,Matches tab in IPL section not working - Server error from one hour\nFix it #cricbuzz #CricbuzzLIVE .. this is pathe… https://t.co/ZyBU4aErHQ
neutral,RT @ravivrmathelgnd: https://t.co/AarBFGXsxx Virat kohli has something to say to fans #RCBTweets #CSK #RCB #Dhoni #CaptainCool #ipl #CSKvRC…
neutral,https://t.co/AarBFGXsxx Virat kohli has something to say to fans #RCBTweets #CSK #RCB #Dhoni #CaptainCool #ipl… https://t.co/sshcT84SVG
neutral,#IPL2019 #IPL #IPL12 #IPLTickets #IPL2k19 #IPLContest #IPL_2019 #ICCworldcup2019 #ICC #ICChampion #iccweek18… https://t.co/GPOXRaV4tp
negative,@bhogleharsha How should be @y_umesh feeling now. I feel death bowling is skill and few can do that relentless time… https://t.co/tyxGyTeKOO
positive,MSD is a big fan of Upendra in Bangalore. He just proved it on the cricket pitch “I’m God. God is great” #RCBvsCSK… https://t.co/fgfcZfzZGN
positive,"#IPL gives major good and interesting vibes on few last matches. Today #RCBvsCSK , what a inning by msd. Maza aa ga… https://t.co/3jk0C0TWC4"
positive,#RCBvCSK Who win this match?\n#RCB v #CSK #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #PlayBold… https://t.co/Sb4l1UWqRD
positive,#SRHvKKR Who win this match?\n#SRH V #KKR #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #KKRvSRH\n#BCCI #IPLT20… https://t.co/JJBnO7R66V
neutral,#IPL\n#CricbuzzLIVE\n#WorldCup2019\n#ICCworldcup2019\n#IPL2019\n\n2015 विश्व कप के बाद सर्वाधिक रन बनाने वाले टॉप 5 बल्ले… https://t.co/YK9O9ubhH0
neutral,#ipl #CricbuzzLIVE \n\nSrh vs Kkr \n\nRcb vs Csk \n\naaj 2/2 pass krege \n\nkma sako toh kma lena \n\njisko kmana hai join pa… https://t.co/rB5huqPjN7
neutral,@IPL captains day out at Jaipur and Delhi... soaked pressure as well as responsibility.  Well done. #IPL #CricbuzzLIVE
positive,"Just as GK @gauravkapur pointed out in #CricbuzzLive, it looks like #DC have taken it upon themselves to make sure… https://t.co/t3skfVqssh"
negative,The worst captain in the #IPL is @ashwinravi99 he has been disliked by his own team mates though for his filthy beh… https://t.co/fpOeOOIZ1K
negative,@henrygayle caught by @akshar2026.\nSearching for that gentleman who says “hard work pays off”.\n\n#KXIPvDC #DCvKXIP… https://t.co/rvCPMqnsH2
positive,"Archer in the afternoon and now Rabada , fielding has been too sloppy.  Remember catches win matches🤷‍♂️ #DCvKXIP… https://t.co/dKWjYcflt9"
positive,#DCvKXIP Who win this match?\n#DC v #KXIP #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #RoarMacha… https://t.co/l81tDwJNzw
neutral,Whenever a Indian player scores.\nNumber 4 pe lao isko. #IPL #CricbuzzLIVE #RRvMI #DCvsKXIP \n#Riyan
positive,#RRvMI Who win this match?\n#RR #MI #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #Hallabol v… https://t.co/261CP97fJY
negative,#Gaana.com: I think your network is very slow.  Gaana app giving IPL live score update of Yesterday match #KKRvsRCB… https://t.co/gJQ2EWVq2z
neutral,Guess @ImRo45 's score in today's match...\n#RohitSharma #MI #MumbaiIndians #VIVOIPL2019 #PlayBold #VIVOIPL #IPL2019… https://t.co/avnAcgSUsd
positive,Full of entertainment in yesterday match #VIVOIPL #RCBvKKR #IPL2019 mayanti langer  #ViratKohli #AndreRussell… https://t.co/RcxhYDX7y6
positive,Best match IPL 2019\n#KKRvRCB \n#Ipl2019 \nMoeen Ali 🔥\nRussell🔥\nRana🔥\n#IPL #CricbuzzLIVE
positive,"One of the best panellist on #CricbuzzLIVE @gauravkapur ,@bhogleharsha , #ajayjadeja \n\nAlways pleasure to hear what… https://t.co/0kcXApZ3qN"
neutral,Will support @KKRiders till the last ball. But one must cherish watching such sporting display through your naked e… https://t.co/rhF79HEaAp
positive,"Virat Kohli may be the best batsman of this era , but he shouldn't open for RCB ,  powerplay is there for a reason… https://t.co/G586JUxzhc"
positive,#KKRvRCB Who win this match?\n#KKR v #RCB #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #KKRHaiTaiyaar… https://t.co/3DvUlrCjJi
positive,"dis is d reason @ImRo45 should captain 🇮🇳 instead of @imVkohli\nHis sense of the cricket is much better, with all du… https://t.co/rp1UC0RNUt"
neutral,After today's match Delhiites be like.. \nMC BC DC(Delhi capitals)\n#DCvMI #IPL #CricketMeriJaan #CricbuzzLIVE… https://t.co/1kr6gjdYFl
neutral,I feel @KieronPollard55 will be @mipaltan fielding couch from nxt #IPL season as hes only fielding this yr in… https://t.co/EgO7oy0wAS
positive,#DCvMI Who win this match?\n#DC v #MI #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #RoarMacha… https://t.co/cRsLAIyOjp
positive,"Welcome to @cricbuzz, @7polly7. 😊#IPL #CricbuzzLIVE https://t.co/8RGTYDoikv"
neutral,C. S. Nayudu played in eleven tests from 1934 to 1952. He was the younger brother of the cricketer C. K. Nayudu. He… https://t.co/RPI8ym5Vvn
positive,#SRHvCSK Who win this match?\n#SRH v #CSK #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #Orangearmy… https://t.co/rtTF1mEBdZ
positive,Happy to see @rajasthanroyals losses this match because nowadays everyone wants to do Mahendra Singh Dhoni they are… https://t.co/zM0zaA7GO1
negative,RT @DhissaAlex: Dream 11 Winning is Real or Fake ?\n\n#VIVOIPL | #IPL2019 | #IPL12 | #Dream11 | #RRvKXIP | #RRvCSK | #KXIPvRR | #IPL | #SRH |…
negative,Dream 11 Winning is Real or Fake ?\n\n#VIVOIPL | #IPL2019 | #IPL12 | #Dream11 | #RRvKXIP | #RRvCSK | #KXIPvRR | #IPL… https://t.co/ys72j9eGB3
neutral,You said 181!  @bhogleharsha  ❤️ #IPL #CricbuzzLIVE @MichaelVaughan
positive,#KXIPvRR Who win this match?\n#KXIP    v #RR #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #Hallabol… https://t.co/jIad5ywQdL
negative,RCB will never win the IPL as long as Kohli is their captain! Never \n\n#RCB #Kohli #CricbuzzLIVE #IPL
neutral,@ABdeVilliers17 की पारी पर @imVkohli ने पानी फेरा अपनी खराब कप्तानी से घटिया कप्तानी।\n#mkmobile #MIvRCB #RCBvKKR… https://t.co/ZicLP2UchM
neutral,Why play just 3 foreigners when you could have given @TimSouthee_NZ or @SHetmyer  another go? Why backing Siraj eve… https://t.co/NSgTAveZiA
positive,#MIvRCB Who win this match?\n#MI v #RCB #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #OneFamily  … https://t.co/Z9ybhpdLjP
positive,I have been saying this since last year.\nSRH is just like RCB except the bowling unit.\nGet the top 3 out and they a… https://t.co/tOs4bosIag
neutral,Eagerly wait for innings to end so that I can hear experts on #CricbuzzLIVE #IPL
neutral,Someone needs to tell Rishabh Pant that it is allowed to bat using both the hands in cricket. \n#IPL #CricbuzzLIVE #SRHvDC
positive,#SRHvDC Who win this match?\n#SRH v #DC  #VIVOIPL #VIVOIPL2019 #IPL2019 #ASKSTAR #IPL #BCCI #IPLT20  #OrangeArmy  … https://t.co/jeypYp6Wc3
positive,He should write book on how to do captaincy @msdhoni \nNot shocked but amazed by seeing his captaincy move on field.… https://t.co/e4BrI9IDnk
neutral,#VivoIPL Morning https://t.co/VAI4r6ujag
positive,@harbhajan_singh has been that Special Task Force Commander for #CSK this season. Comes to the side against key opp… https://t.co/iiMCH065Ff
positive,"RT @arj_90: Five out of five at home this year for CSK. Surely, they’re finishing in the top 2, which means they’ll play the qualifier in C…"
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
neutral,RT @msdipriya: @IPL @msdhoni @bhogleharsha @ChennaiIPL Fans Are One Of  #CSK 's Energy Secrets.... #CSKvSRH #VIVOIPL 2019 https://t.co/spq2…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,@TataMotors Best screenshot\n#VivoIPL #HarrierT20
neutral,RT @IPL: The 🇦🇺 superstar has crossed 8⃣0⃣0⃣0⃣ runs in T20 cricket!\n\n#CSKvSRH #VIVOIPL https://t.co/cbE7B85U9U
neutral,"RT @lionsdenkxip: .@CoachHesson 🗣 | \About time we get on a bit of roll heading into the back end of the tournament.\"" \n\n#SaddaPunjab #RCBvK…"""
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
positive,#cskvsmi CDE upper 2 tickets available dm needed #VivoIPL  #IPL2019  #CSK  #mi
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,Moeen Ali has 216 runs and 5 wickets in IPL 2019\n\nFantasy preview: https://t.co/IwJsug2EBk\n\n#Cricket… https://t.co/2LZAUKDU74
neutral,The Indian Premier League final has been moved 🏟 #VIVOIPL\n\nhttps://t.co/NoZVUAoawx
positive,RT @lionsdenkxip: ⬆️12-ball 20 💥\n⬇️2 wickets 🎯\n\nWhich Sher da debut did you enjoy more?\n\n#SaddaPunjab #VIVOIPL https://t.co/hGUEO8j9gT
neutral,RT @lionsdenkxip: One for your lock screen wallpaper. 📲\n\nThank the #UniverseBoss 👊\n\n#SaddaPunjab #VIVOIPL @henrygayle https://t.co/9AeiJqdX…
neutral,RT @lionsdenkxip: The sweetest of dismissals! 🙌🏼\n\n#StatAttack: @MdShami11 has rattled the stumps 4 times in #VIVOIPL 2019 💪🏼\n\n#SaddaPunjab…
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: Yet another match-winning innings by @ShaneRWatson33 against SRH handed him the Man of the match award for #CSKvSRH\n\n#VIVOIPL http…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,#IPL2019 IPL\nCSK vs SRH\nTarGeT 176\nCSK 176/4\nOvEr 19.5\nK Jhadav 11*\nDJ Bravo 0*\nS Watson 96\n(53b 9x4 6x6)\n#\nCSK Won… https://t.co/LVriWerBXo
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @TataMotors: What is the name of this Harrier’s colour? Take a screenshot of the correct name &amp; stand a chance to win #VivoIPL tickets!…
neutral,"@TataMotors \ORCUS WHITE \""\n#HarrierT20 \n#VivoIPL \n#ContestAlert \n\n#Mumbai https://t.co/lSXZ5S0qlZ"""
neutral,RT @IPL: The 🇦🇺 superstar has crossed 8⃣0⃣0⃣0⃣ runs in T20 cricket!\n\n#CSKvSRH #VIVOIPL https://t.co/cbE7B85U9U
positive,RT @IPL: Match 41. It's all over! Chennai Super Kings won by 6 wickets https://t.co/e4VSVzhu4A #CSKvSRH #VIVOIPL
positive,RT @IPL: Yet another match-winning innings by @ShaneRWatson33 against SRH handed him the Man of the match award for #CSKvSRH\n\n#VIVOIPL http…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
negative,"RT @Vivo_India: Last time these two teams met, it was a low-scoring game. Will it be the same this time?\nGuess whether the first batting si…"
neutral,RT @StarSportsIndia: Shane Watson's innings tonight was ____ !\n\nFill in the blank with your wittiest answer and keep watching Star Sports f…
negative,RT @IPL: Warner joins the party with his half-century. This is his 43rd in #VIVOIPL 👏👏\n\n#CSKvSRH https://t.co/EpsSwDWdGq
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @CPL: Well played young man!!! 3 wickets for Sandeep Lamichhane against the Kings XI Punjab!!! #DCvKXIP #VIVOIPL #CPLPlayerWatch https:/…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,#ParasakthiExpress da yaar kita enga vandhu #AnbuDen senjiruvom #CSKvSRH #Yellove #VIVOIPL #WhistlePodu #SRH https://t.co/HDIBjJEmCH
neutral,RT @StarSportsIndia: Shane Watson's innings tonight was ____ !\n\nFill in the blank with your wittiest answer and keep watching Star Sports f…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @TataMotors: What is the name of this Harrier’s colour? Take a screenshot of the correct name &amp; stand a chance to win #VivoIPL tickets!…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
negative,RT @IPL: FIFTY!\n\nManish Pandey brings up his 13 #VIVOIPL half-century of 25 deliveries 👌👌 https://t.co/MfsmeJm925
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @SunRisers: A cool afternoon spent at the @coolwinks_com meet &amp; greet this afternoon. #SRH #SunRisers #VIVOIPL #IPL #HowCoolIsThat https…
negative,RT @SunRisers: As we gear up for our first home game let’s look at a few clicks from the #SunRisers training camp yesterday. #OrangeArmy #S…
positive,RT @immanishpandey9: 👀👓 AWWWW THAT LOOK 😯🤩😍🔥 This is Damnnnn cute 😍😍😍😅😂\n👋🏻OHHHH HIIII MANISH 💟 \n@im_manishpandey 👑🧡\n📽🎬 #Shootdiaries 🔥🔥🔥\n🙏🏻…
positive,RT @immanishpandey9: Celebrations 🔥🧡 @im_manishpandey 👑\nBe lated Happy Birthday 🎂 @Sah75official\n@SunRisers 🧡\n\n#ManishPandey #Davidwarner #…
positive,RT @immanishpandey9: Welcome back to home 🏠 \n#OrangeArmy 🔥🔥🔥\n🧡 @im_manishpandey 👑\n\n#ManishPandey #Traveldiaries #Prince #SRH  #SunrisersHyd…
neutral,RT @immanishpandey9: Champ 🏏💥🔥\n😍 @im_manishpandey 👑🧡 .\n#ManishPandey #OrangeArmy #SRH #SunrisersHyderabad #VIVOIPL #KKRvsSRH #SRHvsKKR #Ede…
positive,RT @immanishpandey9: 85(53) @davidwarner31\nWelcome back Davey 🔥\n40*(24) @vijayshankar260\n8*(5) @im_manishpandey\nUnfortunately we lost the g…
positive,RT @ImTeamRaina: He walked home with the Game Changer award and we all saw why! \nHis brilliant knock &amp; solid partnership with @ShaneRWatson…
neutral,"RT @Vivo_India: If you owned a team, who would you pick as the captain and why? Share your answers using #PerfectFan #VIVOIPL #(YourCity) &amp;…"
positive,"@Vivo_India #PerfectFan #VIVOIPL #Mohali I love to watch KL Rahul as a captain, because He has the ability to lead… https://t.co/0l5KOOfFvG"
positive,"@IPL Good,, that make cricket more interesting 🏏🤝 #VIVOIPL"
positive,"@Vivo_India I would go for Suresh Raina, He is a super all-rounder, His batting, bowling and fielding always shine… https://t.co/uvBshXYqy9"
neutral,"RT @Vivo_India: If you owned a team, who would you pick as the captain and why? Share your answers using #PerfectFan #VIVOIPL #(YourCity) &amp;…"
positive,"RT @imtamilpodiyan: #VIVOIPL points after M41: #Chennai Super Kings 16, #CSK 14, #Delhi Capitals 12, #DC 10, #Mumbai Indians 10, #MI 8, #Su…"
neutral,RT @IPL: The 🇦🇺 superstar has crossed 8⃣0⃣0⃣0⃣ runs in T20 cricket!\n\n#CSKvSRH #VIVOIPL https://t.co/cbE7B85U9U
positive,RT @IPL: Yet another match-winning innings by @ShaneRWatson33 against SRH handed him the Man of the match award for #CSKvSRH\n\n#VIVOIPL http…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,RT @IPL: The 🇦🇺 superstar has crossed 8⃣0⃣0⃣0⃣ runs in T20 cricket!\n\n#CSKvSRH #VIVOIPL https://t.co/cbE7B85U9U
positive,RT @IPL: Yet another match-winning innings by @ShaneRWatson33 against SRH handed him the Man of the match award for #CSKvSRH\n\n#VIVOIPL http…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,@Vivo_India Will keep MS Dhoni as captain at any cost. He can guide the team very well with his cool head 🦁 💛… https://t.co/hQUsjnBaVt
positive,RT @IPL: Yet another match-winning innings by @ShaneRWatson33 against SRH handed him the Man of the match award for #CSKvSRH\n\n#VIVOIPL http…
positive,@Vivo_India If I own a Team my Playing XI will be 👇 🦁 \nCaptain MS Dhoni and any other 10 Players \n#VivoIPL… https://t.co/6FSbKekGoI
positive,"RT @KKRiders: \We just have to find ways to get that spark in them so they do something special for us.\"" - Skipper @DineshKarthik \n\nRead mo…"""
neutral,RT @IPL: The 🇦🇺 superstar has crossed 8⃣0⃣0⃣0⃣ runs in T20 cricket!\n\n#CSKvSRH #VIVOIPL https://t.co/cbE7B85U9U
neutral,"@Vivo_India One and only MS Dhoni \nHe is only person comes to our mind. When we hear the word \Captain\""\n#VivoIPL… https://t.co/tNxPb5tBdI"""
neutral,"RT @Vivo_India: If you owned a team, who would you pick as the captain and why? Share your answers using #PerfectFan #VIVOIPL #(YourCity) &amp;…"
neutral,@Vivo_India @arorachirag57 MS Dhoni will always be my captain forever 🦁 💛\n#VivoIPL #PerfectFan https://t.co/PLpdoIv10A
positive,"#VIVOIPL points after M41: #Chennai Super Kings 16, #CSK 14, #Delhi Capitals 12, #DC 10, #Mumbai Indians 10, #MI 8,… https://t.co/VgTjLum0Yl"
positive,RT @Lockplayers1: Will #CSK's incredible run at home continue against high-flying #SRH?\n\nWhose your pick in team create here \nhttps://t.co/…
negative,RT @im_sharukh_: Wtf!!!\n Dinda Academy  really exists 😥\n\nRt this 😜\n\nLet all people know about it 😂😂\n\n#IPL2019 #VIVOIPL #CSKvSRH #CSK #CWC19…
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
positive,RT @IPL: .@ChennaiIPL are back to the top of the table 🔥\n\n#VIVOIPL https://t.co/7dpcQobYiT
neutral,#ipl #vivoipl #ipl2019 #indiancusine #marblearch #indianrestaurantlondon #edgewareroad #livescreening… https://t.co/K1sTmm5cWB
neutral,RT @lionsdenkxip: Look who's back in training! ❤\n\n#SaddaPunjab #KXIP #VIVOIPL @Mujeeb_R88 https://t.co/osFYliRzqT
neutral,@procusgo B. 50\n#kkr #kkrlive #kkrvsrcb \n#procus #procusgo #procusgolive #prcusurban  #areyouready #kkrfans… https://t.co/nBi7yvuRbQ
positive,RT @KyaUkhaadLega: Russel with Uthappa right now #KKRvsRCB https://t.co/XTMGJ8dygg
positive,RT @MuVyz: Its a high time #SRK intervenes and get #robinuthappa dropped from #KKR #KKRvsRCB \n\n#ShahrukhKhan Robin Uthappa \n\n#BollywoodFlas…
neutral,RT @MayurMa46334426: @procusgo B. 50\n\n#kkr #kkrlive #kkrvsrcb #haitaiyar\n#procus #procusgo #procusgolive #prcusurban  #areyouready #kkrfans…
neutral,RT @KKRiders: The captains are in the middle for the toss #KKRvsRCB
neutral,@procusgo B. 50\n\n#kkr #kkrlive #kkrvsrcb #haitaiyar\n#procus #procusgo #procusgolive #prcusurban  #areyouready… https://t.co/eccZGyfCod
neutral,@procusgo B. 50\n\n#kkr #kkrlive #kkrvsrcb #haitaiyar\n#procus #procusgo #procusgolive #prcusurban  #areyouready… https://t.co/MkVgSpeV2l
neutral,@procusgo B. 50\n\n#kkr #kkrlive #kkrvsrcb #haitaiyar\n#procus #procusgo #procusgolive #prcusurban  #areyouready… https://t.co/AxHq5MUqcD
neutral,RT @NuvocoVistas: #PredictandWin #ContestAlert \nHere's the correct answer. #KKRvsRCB\n#KartikVsKohli #IPL2019 #NoGapPerformance #Nuvoco\nLike…
neutral,@procusgo B. 50\n\n#kkr #kkrlive #kkrvsrcb #haitaiyar\n#procus #procusgo #procusgolive #prcusurban  #areyouready… https://t.co/MWfCSfHHUF
positive,RT @procusgo: Time to win Procus Urban Bluetooth Headphone.\nComplete all the 3 below-mentioned steps in order to participate: \n1. Follow us…
positive,RT @zevenw0rld: #ContestAlert: #KKRvsRCB How many runs will be scored in the 10th over of 1st innings? Options\nA- 0 to 5\nB- 6 to 10\nC- 10+…
positive,RT @procusgo: Time to win Procus Urban Bluetooth Headphone.\nComplete all the 3 below-mentioned steps in order to participate: \n1. Follow us…
neutral,RT @subasdharel: आईपीएल ले मुटुरोगी बनाउनी भो #KKRvsRCB
neutral,RT @NuvocoVistas: #PredictandWin #ContestAlert \nHere's the correct answer. #KKRvsRCB\n#KartikVsKohli #IPL2019 #NoGapPerformance #Nuvoco\nLike…
positive,RT @PaytmTravel: #PredictAndFly Result : Congratulations to Khadeer Ahmed Shariff for winning #flight voucher for #KKRvsRCB @IPL match\n\nWin…
positive,RT @PaytmTravel: #PredictAndFly Result : Congratulations to Khadeer Ahmed Shariff for winning #flight voucher for #KKRvsRCB @IPL match\n\nWin…
positive,RT @UCBrowser: Why play hard when you can just predict!\nTell us how many wickets will both teams lose in total in the match. Answer in repl…
positive,RT @PaytmTravel: #PredictAndFly Result : Congratulations to Khadeer Ahmed Shariff for winning #flight voucher for #KKRvsRCB @IPL match\n\nWin…
neutral,RT @NuvocoVistas: #PredictandWin #ContestAlert \nHere's the correct answer. #KKRvsRCB\n#KartikVsKohli #IPL2019 #NoGapPerformance #Nuvoco\nLike…
positive,#PredictAndFly Result : Congratulations to Khadeer Ahmed Shariff for winning #flight voucher for #KKRvsRCB @IPL mat… https://t.co/AVIO8rCJuf
positive,"@imVkohli Well played.. Nice 💯\nSorry for late wish.\nAny way, all the best for world cup.. 👍\n#KKRvsRCB #EdenGardens"
neutral,"RT @BAllahan: #DineshKarthik is disgrace too himself, sending everyone ahead #KKRvsRCB"
neutral,RT @NuvocoVistas: #PredictandWin #ContestAlert \nHere's the correct answer. #KKRvsRCB\n#KartikVsKohli #IPL2019 #NoGapPerformance #Nuvoco\nLike…
neutral,#PredictandWin #ContestAlert \nHere's the correct answer. #KKRvsRCB\n#KartikVsKohli #IPL2019 #NoGapPerformance… https://t.co/zSXYwYCBut
positive,RT @playiBCricket: Nomoshkar Kolkata!\niB Cricket Special Experience Zone set up at VIP zone in Eden Gardens during #KKRvsRCB match mesmeriz…
positive,RT @playiBCricket: Nomoshkar Kolkata!\niB Cricket Special Experience Zone set up at VIP zone in Eden Gardens during #KKRvsRCB match mesmeriz…
positive,RT @procusgo: He is back on doing what he does the best.\nWatch @sunilnarine24 go BIG at training in this video shot on Procus Action Camera…
neutral,എന്റേം ചേട്ടന്റേം ശബ്ദം ഒരേ പോലെ...!!\n\n#KKRvsRCB #RCBvCSK #VIVOIPL https://t.co/3PjaNfTdVY
positive,"RT @PaytmTravel: #PredictAndFly Contest : Like, RT &amp; tell us which team would win today's #KKRvsRCB @IPL match in the comments section, and…"
positive,Nomoshkar Kolkata!\niB Cricket Special Experience Zone set up at VIP zone in Eden Gardens during #KKRvsRCB match mes… https://t.co/sbJD31FkwG
neutral,#Ipl2019 #CricketNews #SportNews #KKRvsRCb #DCvsKip #NirmanaNews\n IPL 2019 Review  KKR vs RCB &amp; Preview MI vs RR &amp;… https://t.co/ZTDSEcKTmB
neutral,RT @agrawmohit: @imVkohli refusing 2nd run for his century explains why he cant be compared with @sachin_rt .\nNot every one can be GOD of c…
positive,"RT @Badshahmasala: Guess karo aur bano #IPLKaBadshah. Predict and share who will win today's match in the comments section. Also, like our…"
positive,RT @18prajakta: Form is permanent. \nClass is permanent. \nPerformance is permanent.\nAggression is permanent. \nBeing the BEST is permanent.…
